id,text,tags,label,c_label
1258181810686693382,Whoa!!!!This sounds like #obstruction of justice too!NO MORE SPECIAL DEALS for #Congress#WeThePeople have had enough! Same rules for Congressmen and Senators.Durham should subpoena them! @realDonaldTrump@TheJusticeDept #ProduceTheEvidence #DemandTheTruth@DevinNunes https://t.co/t3eNgEFoKq,obstruction Congress WeThePeople,ad,other
1258330734974119936,"@FI_Bar_Man @Chris_Harri5 @Panther2491 @FIJW9 @FIndex24 Yeah I do think people are underestimating the effect this will have on the market, think the majority of transfers will involve swap deals. However that doesn’t stop the media pumping out the same Sancho/Werner stories out day after day",,ad,other
1258291058728984576,"To everyone that ordered, to all the anons, to everyone that made delivery easy, to the ones who didn't, to everyone who was curious and decided to try, to everyone who referred, to everyone who retweeted, we just want to say a big THANK YOU!Kaduna, the love was overwhelming.",,ad,ad
1258302627911094272,"K media said Bodyfriend, the massage machine which @BTS_twt endorsed were sold more than 5000pcs during the straight holidays in Korea (4/30-5/5), the sales increased by 46% from the last year. Due to the flood of order, even the executives in company had to help the delivery. https://t.co/cRYcLypfar",,ad,ad
1258330708327698432,"@ComMoaab If that is the case, you can update the card on your order here: https://t.co/UnwQAuVQRM. ^KI",,ad,ad
1258234625459011586,Lisa's first customer https://t.co/GxXxwLbV5m,,ad,other
1258265557087985665,A fucking paradoxical beingServe your queen fag.#catfishfindom https://t.co/sESfhIaEFU,catfishfindom,other,other
1258130324757848064,"When this is over, I declare a war on cosy. I don’t want any house hang-outs, no sofas, no dinners, no “really nice bottle of red”s. I want to be in pubs and on streets. I want horrible pints. I want to trawl up and down the streets of soho offering people 10p to “borrow a fag”.",,other,other
1258079083436609536,"Current Weather @ 2:00 PM the temp 4.7C, Humidity 80%, Wind Speed 25.8 km/h W, AVG Wind Speed 25.8 km/h, Max Gust Today 25.9 km/h, Barometer 98.0 kPa, Cur Rain Rate 0.00 mm/h, Today's Rain  0.0mm #weather #weatherforcast #nsweather #novascotia",weather weatherforcast nsweather novascotia,other,other
1258086635192946689,"Current Weather @ 2:30 PM the temp 4.7C, Humidity 80%, Wind Speed 25.8 km/h W, AVG Wind Speed 25.8 km/h, Max Gust Today 25.9 km/h, Barometer 98.0 kPa, Cur Rain Rate 0.00 mm/h, Today's Rain  0.0mm #weather #weatherforcast #nsweather #novascotia",weather weatherforcast nsweather novascotia,other,other
1258325505981534208,Weather Forcast for the southern path of Brandenburg:  Today the weather will be fucking cold.,,other,other
1258330066322366475,RT: YYJTravelodge: Tomorrow's Forcast is Sunny Skies With a high of 21 https://t.co/g77OtjS2u8,,other,other
1258330148111294464,Where do most #counterfeits come from? China Turkey &amp; India. This isn't the time to relax #brand protection. Criminal counterfeiters are in #manufacturing overdrive! https://t.co/OBrf9lL0Ww BBC News: Gowns ordered from Turkey fail to meet safety standards https://t.co/eERuDBDTly,counterfeits brand manufacturing,news,news
1258330240004378626,Keep your dreams and hopes alive.Good day folks.Kindly join me @10 am on  @JOYNEWSONTV for #NewsDesk. https://t.co/zijaoW6jCD,NewsDesk,job,ad
1258328669858050048,Dog the Bounty Hunter's Parrot Gifted by Late Beth Has Died - https://t.co/U591KAqAF7#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/FxHngS7suK,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,news,news
1258328875492184065,What happens if a Covid tax on India's rich becomes a reality - https://t.co/gp72wMFbO4#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/gkCIoQoDkM,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,news,news
1258330529365139457,#BreakingNews Mayurbhanj reports another Covid positive: Odisha tally 206https://t.co/sJs3sRcKD4@CMO_Odisha @HFWOdisha @SecyChief @IPR_Odisha #OdishaFightsCorona #Odisha https://t.co/HiIolKbKBQ,BreakingNews OdishaFightsCorona Odisha,news,news
1257404531966689280,#BreakingNews : POK Media says that more than 16 terrorists KIA in Indian Army's heavy retaliationIn #Samahni sector of Pakistan Occupied #Kashmir. Terror launch pad was hit with pin pointed accuracy in retaliation to ceasefire violation by #Pakistani. Local hospital is buzzing https://t.co/XGD7ZVPzVy,BreakingNews Samahni,news,news
1258312486140477440,I have Bcom degree in Business Management and Higher Certificate in Logistics and Supply chain management. Looking for any vacancy available #GraduatedAndUnemployed https://t.co/y5xa8JSz5X,,other,job
1258151747027116034,** VACANCY 1st TEAM MANAGER **The club would like to invite applications for the position of 1st Team manager. For further information or to express your interest please contact the club via email in the first instance - wickfootballclub@outlook.com.Closing date - 13th May,,ad,job
1258125996882038787,It's never been easier!#staysafe #thankyou #millennialstrucking #trucking #trucks #truckerslife #truckers #wearehiring #findjob #country #jobs #work #usatrucks #truckdrivers #trucker #usaroads #hiring https://t.co/2m15Jogr0O,staysafe thankyou millennialstrucking trucking trucks truckerslife truckers wearehiring findjob country jobs work usatrucks truckdrivers trucker usaroads hiring,job,other
1258242342269714432,“Just one small positive thought in the morning can change your whole day.”t.” —Dalai Lama#jobs #jobseekers #career #jobboard #vacancy #careeradvice #north #east #srilanka #seekforjob #jobportalwebsite #findjob #jobs_in_north_and_east https://t.co/ng2JQVWNa7,jobs jobseekers career jobboard vacancy careeradvice north east srilanka seekforjob jobportalwebsite findjob jobs_in_north_and_east,job,other
1258329175988908032,"In @TheWeek’s latest story on companies bucking up the trend of salary hikes and hiring, Aftab Ullah @aftabzu talks about the increase in productivity &amp; people engagement since the lockdown &amp; Brillio's hiring plans in IndiaRead more:https://t.co/OVtuvvImfK#brillio #wearehiring https://t.co/jNzTpKdM3q",brillio wearehiring,job,job
1258323125219049473,✔️Join us &amp; put your expertise to work for the cause for children. #Jobs #Вработување #WeAreHiring#Apply before 12 May 2020👉 https://t.co/wzojepLbdA https://t.co/suLgY3XgcG,Jobs Вработување WeAreHiring Apply,job,job
1231478307826176001,Week 3 of fulltime trading about to commemce and I had the urge to look at charts on a Sunday evening. That's a great sign.,,other,other
1258330199516606466,"I was very captivated by image/text, and I got a hold of stuff here and there as a kid. But at 22, I decided, fuck it, fulltime comics reading and research. I got by doing all the extra research by doing literate and cultural studies, and gearing all towards theory.",,other,other
